job_title,company,location,salary,description
Data Analyst,ABC Corp,New York,70000,"Looking for Python, SQL, Excel skills"
Data Scientist,XYZ Inc,San Francisco,120000,"Machine learning, Python, TensorFlow required"
Business Analyst,TechSoft,Chicago,80000,"Strong Excel, SQL, communication skills"
Software Engineer,Innovatech,Seattle,110000,"Java, Spring Boot, microservices experience"
Data Analyst,DataWorks,New York,75000,"SQL, Tableau, Python required"
Machine Learning Engineer,AI Labs,Boston,130000,"Python, ML models, AWS experience"
Data Engineer,CloudData,Austin,115000,"ETL pipelines, Python, Spark, SQL"
Business Analyst,FinCorp,New York,85000,"Excel, Power BI, data analysis skills"
Software Engineer,BuildIt,San Francisco,125000,"Java, REST APIs, Docker, Kubernetes"
Data Scientist,InsightAI,Chicago,118000,"Python, NLP, deep learning"
Data Analyst,MarketView,Seattle,72000,"Excel, SQL, dashboards"
Data Engineer,BigData Inc,Austin,112000,"Spark, Hadoop, Python"
Machine Learning Engineer,NextGen AI,Boston,135000,"TensorFlow, PyTorch, Python"
Business Analyst,ConsultCorp,Chicago,82000,"Data visualization, SQL, Excel"
Software Engineer,CodeBase,New York,105000,"Java, Spring Boot, MySQL"